,director
14,Woody Allen
18,Martin Scorsese
22,Brian De Palma
34,Barry Levinson
36,Amy Heckerling
45,Wes Craven
47,Martin Scorsese
61,Rob Reiner
62,Woody Allen
69,Spike Lee
73,Spike Lee
78,Michael Moore
80,Steven Soderbergh
83,Joel Schumacher
87,Spike Lee
89,John Singleton
100,Rob Reiner
107,Brian De Palma
109,Clint Eastwood
113,John Singleton
118,Kevin Smith
127,Rob Reiner
129,Edward Burns
130,Amy Heckerling
135,Kevin Smith
146,Rob Cohen
147,Woody Allen
153,Spike Lee
155,Rob Reiner
156,Spike Lee
158,Cameron Crowe
166,Wes Craven
167,Mike Leigh
168,Edward Burns
175,Nicole Holofcener
181,Paul Thomas Anderson
182,Kevin Smith
188,Woody Allen
191,Paul W.S. Anderson
199,Martin Scorsese
200,Edward Burns
204,Antoine Fuqua
205,Wes Craven
209,Paul W.S. Anderson
218,Woody Allen
226,Kevin Smith
234,Paul W.S. Anderson
242,Spike Lee
248,Joel Schumacher
255,Antoine Fuqua
269,Joel Schumacher
278,Steven Soderbergh
282,M. Night Shyamalan
294,Paul Thomas Anderson
299,Gus Van Sant
301,Cameron Crowe
309,Roland Emmerich
317,Rob Cohen
319,Steven Soderbergh
321,Woody Allen
345,Spike Lee
346,Amy Heckerling
348,M. Night Shyamalan
350,Barry Levinson
355,Barry Levinson
367,Edward Burns
384,John Singleton
385,Woody Allen
386,Wes Craven
391,Kevin Smith
410,Paul Thomas Anderson
417,Woody Allen
422,Brian De Palma
429,M. Night Shyamalan
432,Mike Leigh
435,Steven Soderbergh
439,Rob Cohen
444,Kevin Smith
451,Spike Lee
456,Michael Moore
463,Woody Allen
473,Rob Reiner
477,Barry Levinson
490,Martin Scorsese
504,Antoine Fuqua
509,Catherine Hardwicke
517,Michael Moore
523,Gus Van Sant
531,M. Night Shyamalan
532,Cameron Crowe
549,Rob Cohen
551,Mike Leigh
557,Michael Moore
583,Woody Allen
593,Kevin Smith
602,Nicole Holofcener
620,M. Night Shyamalan
622,Spike Lee
625,Tyler Perry
627,Woody Allen
656,Joel Schumacher
660,Barry Levinson
663,Barry Levinson
670,Woody Allen
675,Catherine Hardwicke
679,Martin McDonagh
695,Clint Eastwood
696,Rob Reiner
704,Wes Craven
705,Kevin Smith
706,Nicole Holofcener
709,Tyler Perry
715,Brian De Palma
717,M. Night Shyamalan
721,M. Night Shyamalan
738,Kevin Smith
742,Gus Van Sant
757,Spike Lee
758,Tyler Perry
785,Paul Thomas Anderson
801,Woody Allen
802,Martin McDonagh
803,Woody Allen
814,Clint Eastwood
818,Paul W.S. Anderson
820,Michael Moore
824,Cameron Crowe
826,Antoine Fuqua
828,Wes Craven
861,Tyler Perry
872,Mike Leigh
887,Catherine Hardwicke
889,Gus Van Sant
893,Roland Emmerich
904,Amy Heckerling
909,Paul Thomas Anderson
916,Steven Soderbergh
918,John Singleton
924,Woody Allen
927,Clint Eastwood
948,Joel Schumacher
976,Antoine Fuqua
987,David Ayer
988,Paul W.S. Anderson
989,Woody Allen
997,Steven Soderbergh
1002,Martin McDonagh
1016,Steven Soderbergh
1058,Woody Allen
1059,Roland Emmerich
1069,Nicole Holofcener
1074,Rob Reiner
1075,Mike Leigh
1084,Paul W.S. Anderson
1089,David Ayer
1103,Kevin Smith
1109,Barry Levinson
1111,Rob Cohen
1141,M. Night Shyamalan
1156,Kevin Smith
1179,Woody Allen
1204,Martin McDonagh
1220,Steven Soderbergh
1221,David Ayer
1233,Paul Thomas Anderson
1235,Catherine Hardwicke
1239,Tyler Perry
1253,Kevin Smith
1259,M. Night Shyamalan
1266,Roland Emmerich
1286,Steven Soderbergh
1290,David Ayer
1292,Michael Moore
